00:01:02:716031,C,78f88081,6256014611,2346,2851651,RhvHT3w1FJPk+ffa5F6xLXhD4LsykQfulu1ShcKMUgk=,2,1,0.0125,0.02457,7.629e-06,f,17745978
00:01:02:716197,C,b1905fe2,6256018813,578,2851651,RhvHT3w1FJPk+ffa5F6xLXhD4LsykQfulu1ShcKMUgk=,2,1,0.0125,0.02298,7.629e-06,f,17745982
00:01:02:716275,C,ee2d4497,6272398118,835,2851651,Nugr6rX+U6WELDvGY6ars76339mw/Uc2fgD1/rZ6fkA=,0,1,0.0625,0.0318,0.0002699,f,17745984
00:01:03:416554,C,40b3477c,6271789353,110,3545370758,8vU5SSVAeh9GJ4X9FV/j9A7SiLGWGoOKQdmKdAPSc/4=,0,0,0.009369,0.09546,0.0002317,f,17746032
00:01:03:418865,C,8b263f87,6271789353,222,603128,8vU5SSVAeh9GJ4X9FV/j9A7SiLGWGoOKQdmKdAPSc/4=,0,0,0.009369,0.09546,0.0002317,f,17746049
00:01:03:418963,C,e1cfb4c6,6271791214,4,603128,8vU5SSVAeh9GJ4X9FV/j9A7SiLGWGoOKQdmKdAPSc/4=,0,0,0.0125,0.09546,0.0002317,f,17746051
00:01:20:458469,E,b0a5f77c,6272757908,5,216969439,ixykqFMoZlEv1zbl6qsJg83fr0Ulc6Lnm3wVaYq7uQY=,1,4,0.0625,0.03979,7.725e-05,f,17746135
00:01:28:357459,C,ad0d3bc7,6269380921,63,1095595,f7F3iYlP9QqyuUyW8v/H8sCjOf6XEy+lP3bzejIRLK0=,0,0,0.05627,0.0318,7.725e-05,f,17746258
00:01:28:360424,C,741de63e,6269380921,56,211705165,f7F3iYlP9QqyuUyW8v/H8sCjOf6XEy+lP3bzejIRLK0=,0,0,0.05627,0.0318,7.725e-05,f,17746276
00:01:37:720934,C,c113d846,6272398118,1199,336068304,Nugr6rX+U6WELDvGY6ars76339mw/Uc2fgD1/rZ6fkA=,0,1,0.0625,0.0318,0.0002699,f,17746408
00:01:37:721129,C,c36aff70,6256014611,973,336068304,RhvHT3w1FJPk+ffa5F6xLXhD4LsykQfulu1ShcKMUgk=,2,1,0.0125,0.02457,7.629e-06,f,17746412
00:01:45:767848,C,ef2a4234,6272538818,27,410756628,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.06873,0.01193,0.0001154,f,17746507
00:01:51:188426,E,14b00cbe,6272892601,8,1436344333,68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,0,6,0.009369,0.002655,3.052e-05,f,17746576
00:01:51:189987,C,3f3d1eca,6272538818,665,4802079544,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.06873,0.01193,0.0001154,f,17746585
